date,field,channel,min,max,mean,std,median,q1,q3,nonzero_count,zero_count
20220910,normalized_tensor,2,-0.19819791615009308,103.62360382080078,-8.043968158233383e-09,1.0,-0.19819791615009308,-0.19819791615009308,-0.19819791615009308,394560,0
20220910,normalized_tensor,3,-0.22932472825050354,34.374168395996094,-2.7689813109077477e-08,1.0,-0.22932472825050354,-0.22932472825050354,-0.22932472825050354,394560,0
20220910,normalized_tensor,4,-0.4290265738964081,4.7459516525268555,1.7286797771021156e-08,1.0,-0.4290265738964081,-0.4290265738964081,-0.4290265738964081,394560,0
20220910,normalized_tensor,5,-0.11257001012563705,13.517189979553223,-1.2104625746189868e-08,1.0,-0.11257001012563705,-0.11257001012563705,-0.11257001012563705,394560,0
20220910,normalized_tensor,6,-0.14136551320552826,12.541038513183594,1.5005094056164126e-08,1.0,-0.14136551320552826,-0.14136551320552826,-0.14136551320552826,394560,0
20220910,normalized_tensor,7,-0.11490026116371155,14.43490982055664,1.4618365185015136e-08,0.9999998807907104,-0.11490026116371155,-0.11490026116371155,-0.11490026116371155,394560,0
20220911,input_tensor,0,0.0,347.0,3.32197642326355,9.931365966796875,0.0,0.0,2.0,124135,270425
20220911,input_tensor,1,0.0,20.0,0.14321522414684296,0.578311562538147,0.0,0.0,0.0,35151,359409
20220911,input_tensor,2,0.0,133.0,0.25230637192726135,1.2782502174377441,0.0,0.0,0.0,45008,349552
20220911,input_tensor,3,0.0,19.0,0.1456964761018753,0.5977080464363098,0.0,0.0,0.0,34750,359810
20220911,input_tensor,4,0.0,25.62320899963379,2.0759692192077637,4.843552589416504,0.0,0.0,0.0,74940,319620
20220911,input_tensor,5,0.0,19.43850326538086,0.15618689358234406,1.4010158777236938,0.0,0.0,0.0,6372,388188
20220911,input_tensor,6,0.0,21.706165313720703,0.2673926055431366,1.8347904682159424,0.0,0.0,0.0,10865,383695
20220911,input_tensor,7,0.0,22.490127563476562,0.19215066730976105,1.5824319124221802,0.0,0.0,0.0,7358,387202
20220911,normalized_tensor,0,-0.33449339866638184,34.60531234741211,-2.1405464067925095e-08,1.0000001192092896,-0.33449339866638184,-0.33449339866638184,-0.13311123847961426,394560,0
20220911,normalized_tensor,1,-0.24764370918273926,34.335792541503906,1.7518834383167814e-08,0.9999999403953552,-0.24764370918273926,-0.24764370918273926,-0.24764370918273926,394560,0
20220911,normalized_tensor,2,-0.19738417863845825,103.85110473632812,2.9700805370680428e-08,1.0,-0.19738417863845825,-0.19738417863845825,-0.19738417863845825,394560,0
20220911,normalized_tensor,3,-0.24375860393047333,31.544336318969727,-1.8582340999273583e-08,0.9999998807907104,-0.24375860393047333,-0.24375860393047333,-0.24375860393047333,394560,0
20220911,normalized_tensor,4,-0.4286046624183655,4.861563682556152,1.1806843502881748e-07,1.0,-0.4286046624183655,-0.4286046624183655,-0.4286046624183655,394560,0
20220911,normalized_tensor,5,-0.11148117482662201,13.76309585571289,-1.3148794275608111e-09,0.9999998807907104,-0.11148117482662201,-0.11148117482662201,-0.11148117482662201,394560,0
20220911,normalized_tensor,6,-0.14573468267917633,11.684588432312012,-2.908203988738478e-08,1.0,-0.14573468267917633,-0.14573468267917633,-0.14573468267917633,394560,0
20220911,normalized_tensor,7,-0.12142744660377502,14.09095573425293,1.106045655063781e-08,1.0,-0.12142744660377502,-0.12142744660377502,-0.12142744660377502,394560,0
20220912,input_tensor,0,0.0,124.0,1.2856067419052124,4.039676666259766,0.0,0.0,0.0,97503,297057
20220912,input_tensor,1,0.0,9.0,0.04832218214869499,0.26404526829719543,0.0,0.0,0.0,15624,378936
20220912,input_tensor,2,0.0,52.0,0.10407289117574692,0.5228445529937744,0.0,0.0,0.0,27323,367237
20220912,input_tensor,3,0.0,11.0,0.057719990611076355,0.3122088313102722,0.0,0.0,0.0,17187,377373
20220912,input_tensor,4,0.0,24.36516571044922,1.2687273025512695,3.9329564571380615,0.0,0.0,0.0,44505,350055
20220912,input_tensor,5,0.0,19.427106857299805,0.07157089561223984,0.9547620415687561,0.0,0.0,0.0,2775,391785
20220912,input_tensor,6,0.0,21.624874114990234,0.14917759597301483,1.3836925029754639,0.0,0.0,0.0,5870,388690
20220912,input_tensor,7,0.0,21.805295944213867,0.10951254516839981,1.203305721282959,0.0,0.0,0.0,3952,390608
20220912,normalized_tensor,0,-0.31824496388435364,30.377281188964844,1.7402815188916065e-08,1.0,-0.31824496388435364,-0.31824496388435364,-0.31824496388435364,394560,0
20220912,normalized_tensor,1,-0.18300719559192657,33.90205764770508,-3.819918248382237e-08,1.0000001192092896,-0.18300719559192657,-0.18300719559192657,-0.18300719559192657,394560,0
20220912,normalized_tensor,2,-0.19905130565166473,99.25689697265625,4.4860590797668465e-09,1.0,-0.19905130565166473,-0.19905130565166473,-0.19905130565166473,394560,0
20220912,normalized_tensor,3,-0.1848762333393097,35.047950744628906,5.3658681942181374e-09,1.0,-0.1848762333393097,-0.1848762333393097,-0.1848762333393097,394560,0
20220912,normalized_tensor,4,-0.322588711977005,5.8725385665893555,-4.250154361784553e-08,0.9999998807907104,-0.322588711977005,-0.322588711977005,-0.322588711977005,394560,0
20220912,normalized_tensor,5,-0.07496202737092972,20.272626876831055,1.179524145022981e-09,0.9999999403953552,-0.07496202737092972,-0.07496202737092972,-0.07496202737092972,394560,0
