tl_id,linkIndex,fromLane,toLane
201300,1,477610002_02,477610053_02020202_02
201300,2,477610002_02,477610053_02020202_02
201300,3,477610002_02,477604809_01
201329,10,477610040_01_02,477604628_01
201329,11,477610040_01_02,477604020_01
201329,12,477610040_01_02,477604020_01
201329,13,477610040_01_02,477604635_01
201300,9,477610053_02020202_01,477604809_01
201300,10,477610053_02020202_01,477610002_01
201300,11,477610053_02020202_01,477610002_01
201300,12,477610053_02020202_01,477660958_01
201306,8,477610076_02,477649578_02_02
201306,9,477610076_02,477649578_02_02
201306,10,477610076_02,477651439_01
201306,11,477610076_02,477610076_01
201330,6,477643151_02,477657424_01
201330,7,477643151_02,477657424_01
201330,8,477643151_02,477605419_01
201330,9,477643151_02,477605419_01
201330,10,477643151_02,477643151_01
201292,12,477649508_01_02,477604827_010101_01
201292,13,477649508_01_02,477604248_0202_02
201292,14,477649508_01_02,477604248_0202_02
201292,15,477649508_01_02,477604732_02
201301,4,477649509_02,477604827_02_02
201301,5,477649509_02,477649559_01
201301,6,477649509_02,477649559_01
201301,7,477649509_02,477649571_010101_01
201301,8,477649509_02,477649509_01
201305,8,477649545_02,477605452_01
201305,9,477649545_02,477666530_01
201305,10,477649545_02,477666530_01
201305,11,477649545_02,477605619_01
201301,13,477649559_02,477649571_010101_01
201301,14,477649559_02,477649509_01
201301,15,477649559_02,477649509_01
201301,16,477649559_02,477604827_02_02
201301,9,477649571_010101_02,477649509_01
201301,10,477649571_010101_02,477604827_02_02
201301,11,477649571_010101_02,477604827_02_02
201301,12,477649571_010101_02,477649559_01
201293,9,477649578_010101_02,477603993_02_02
201293,10,477649578_010101_02,477604193_02
201293,11,477649578_010101_02,477604193_02
201293,12,477649578_010101_02,477670332_02
201306,0,477649578_02_01,477651439_01
201306,1,477649578_02_01,477610076_01
201306,2,477649578_02_01,477610076_01
201306,3,477649578_02_01,477649580_01_01
201306,4,477649580_01_02,477649578_02_02
201306,5,477649580_01_02,477651439_01
201306,6,477649580_01_02,477651439_01
201306,7,477649580_01_02,477610076_01
201306,12,477651439_02,477610076_01
201306,13,477651439_02,477649580_01_01
201306,14,477651439_02,477649580_01_01
204920,9,477656848_02,477744474_01
204920,10,477656848_02,477755532_01_01
204920,11,477656848_02,477755532_01_01
204920,12,477656848_02,477605406_01
204920,13,477656848_02,477605406_01
201330,17,477657424_02,477643151_01
201330,18,477657424_02,477643151_01
201330,19,477657424_02,477605685_01
201330,20,477657424_02,477605685_01
201330,21,477657424_02,477657424_01
201300,13,477660958_02,477610053_02020202_02
201300,14,477660958_02,477604809_01
201300,15,477660958_02,477604809_01
201300,16,477660958_02,477610002_01
201300,17,477660958_02,477660958_01
201305,20,477666530_02,477605619_01
201305,21,477666530_02,477649545_01
201305,22,477666530_02,477605452_01
201305,23,477666530_02,477666530_01
201293,13,477670332_01,477649578_010101_01
201293,14,477670332_01,477603993_02_02
201293,15,477670332_01,477603993_02_02
201293,16,477670332_01,477604193_02
204822,13,477704547_02,477714888_01
204822,14,477704547_02,477707011_02
204822,15,477704547_02,477707011_02
204822,16,477704547_02,477706439_01
204822,17,477704547_02,477706439_01
204820,4,477706392_02,477706911_02_02
204820,5,477706392_02,477707013_01
204820,6,477706392_02,477707013_01
204820,7,477706392_02,477707013_01
204820,8,477706392_02,477707013_01
204820,9,477706392_02,477707013_01
204820,10,477706392_02,477706883_02
