tl_id,phase_seq,char_idx,signal_char,lane_id,from_edge,to_edge
201292,7,15,y,:201292_15_0,477649508_01_02,477604732_02
201293,0,0,G,:201293_0_0,477604193_01,477670332_02
201293,0,1,G,:201293_1_0,477604193_01,477649578_010101_01
201293,0,2,G,:201293_1_1,477604193_01,477649578_010101_01
201293,0,3,g,:201293_3_0,477604193_01,477603993_02_02
201293,0,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,0,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,0,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,0,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,0,8,r,:201293_8_0,477603993_02_01,477649578_010101_01
201293,0,9,G,:201293_9_0,477649578_010101_02,477603993_02_02
201293,0,10,G,:201293_10_0,477649578_010101_02,477604193_02
201293,0,11,G,:201293_10_1,477649578_010101_02,477604193_02
201293,0,12,g,:201293_12_0,477649578_010101_02,477670332_02
201293,0,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,0,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,0,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,0,16,r,:201293_16_0,477670332_01,477604193_02
201293,1,0,y,:201293_0_0,477604193_01,477670332_02
201293,1,1,y,:201293_1_0,477604193_01,477649578_010101_01
201293,1,2,y,:201293_1_1,477604193_01,477649578_010101_01
201293,1,3,g,:201293_3_0,477604193_01,477603993_02_02
201293,1,4,r,:201293_4_0,477603993_02_01,477604193_02
201293,1,5,r,:201293_5_0,477603993_02_01,477670332_02
201293,1,6,r,:201293_5_1,477603993_02_01,477670332_02
201293,1,7,r,:201293_5_2,477603993_02_01,477670332_02
201293,1,8,r,:201293_8_0,477603993_02_01,477649578_010101_01
201293,1,9,y,:201293_9_0,477649578_010101_02,477603993_02_02
201293,1,10,y,:201293_10_0,477649578_010101_02,477604193_02
201293,1,11,y,:201293_10_1,477649578_010101_02,477604193_02
201293,1,12,g,:201293_12_0,477649578_010101_02,477670332_02
201293,1,13,r,:201293_13_0,477670332_01,477649578_010101_01
201293,1,14,r,:201293_14_0,477670332_01,477603993_02_02
201293,1,15,r,:201293_14_1,477670332_01,477603993_02_02
201293,1,16,r,:201293_16_0,477670332_01,477604193_02
201293,2,0,r,:201293_0_0,477604193_01,477670332_02
201293,2,1,r,:201293_1_0,477604193_01,477649578_010101_01
